191-noptp,191-unmanaged,191-ptp,203-noptp,203-unmanaged,203-ptp,234-noptp,234-unmanaged,234-ptp
2.4375000000000003e-5,-9.760638888888889e-5,5.89878516624041e-6,-5.81558295964079e-7,-6.919960861056751e-5,7.080901098901099e-6,-6.6249999999999035e-6,-4.9160406885758996e-5,7.638154205607477e-6
2.60786467486819e-5,-9.802419630156472e-5,5.919955423476969e-6,-5.139388489208609e-6,-7.004006968641116e-5,7.084919053549191e-6,-1.4175101214574867e-5,-4.9643006993006996e-5,7.688653113087675e-6
2.8059475806451615e-5,-9.808796557120501e-5,5.875961742826781e-6,-1.0727691218130348e-5,-7.059322033898305e-5,7.0996597633136095e-6,-2.0458656330749406e-5,-5.037926675094817e-5,7.692127659574467e-6
2.97015503875969e-5,-9.842892531876138e-5,5.866611909650924e-6,-1.538931564245812e-5,-7.087545899632803e-5,7.087635960044395e-6,-2.6741676942046736e-5,-5.061525423728814e-5,7.682051282051282e-6
3.0475113122171947e-5,-9.904267973856209e-5,5.887264150943397e-6,-2.089473684210516e-5,-7.166438906752411e-5,7.090606741573033e-6,-3.3021327014217837e-5,-5.034635083226632e-5,7.678231780167264e-6
3.2091346153846155e-5,-9.90286541737649e-5,5.865187878787879e-6,-2.5511432009627053e-5,-7.123831775700934e-5,7.12304940374787e-6,-4.055062929061797e-5,-5.032035928143713e-5,7.677793791574279e-6
3.4118534482758624e-5,-9.971945280437757e-5,5.849038961038961e-6,-2.9823684210526346e-5,-7.13162100456621e-5,7.13735294117647e-6,-4.682379349046028e-5,-5.028282374100719e-5,7.667072671443193e-6
3.575710754017305e-5,-0.00010027241183162686,5.866553846153847e-6,-3.557022471910114e-5,-7.210731414868105e-5,7.121551020408163e-6,-5.3096623981373605e-5,-5.04724025974026e-5,7.677494577006507e-6
3.6466297786720324e-5,-0.00010096356733524355,5.858629441624366e-6,-3.997016706443917e-5,-7.263666666666667e-5,7.115551763367463e-6,-5.937044902912616e-5,-5.0923764906303234e-5,7.697295597484276e-6
3.818693693693693e-5,-0.00010164186094069529,5.889080157687254e-6,-4.5599941037735917e-5,-7.318117229129663e-5,7.109585798816568e-6,-6.56479721166032e-5,-5.1640218878248974e-5,7.676626262626263e-6
4.002678571428572e-5,-0.00010203460465116279,5.887559652928417e-6,-5.005339805825258e-5,-7.400994035785288e-5,7.106316872427983e-6,-7.317866578599743e-5,-5.236542792792793e-5,7.725896328293737e-6
4.188027744270205e-5,-0.00010237175339366516,5.8957565789473684e-6,-5.5612951807228975e-5,-7.456890060240965e-5,7.0939227340267455e-6,-7.946081830790576e-5,-5.2838056680161945e-5,7.727278548559233e-6
4.2344028520499106e-5,-0.00010305257627118645,5.874020467836258e-6,-6.0069577735124766e-5,-7.485245398773005e-5,7.126622313203684e-6,-8.57521961932649e-5,-5.353829225352113e-5,7.726947584789311e-6
4.4319389110225764e-5,-0.0001029468954248366,5.858247914183553e-6,-6.561592009685243e-5,-7.53737922705314e-5,7.102518248175182e-6,-9.203775038520785e-5,-5.419980506822612e-5,7.725174069627852e-6
4.596805993690852e-5,-0.00010321033333333333,5.837047619047619e-6,-7.006944444444443e-5,-7.614524147727272e-5,7.126057385759829e-6,-9.957661290322588e-5,-5.489255910987483e-5,7.698838120104438e-6
4.799963396778917e-5,-0.00010367267605633803,5.849671428571429e-6,-7.561147836538458e-5,-7.642994746059545e-5,7.138136200716845e-6,-0.0001058650592216583,-5.53603707995365e-5,7.660195599022005e-6
4.8374463519313306e-5,-0.00010370743758212879,5.879276944065485e-6,-8.00367647058823e-5,-7.573668981481482e-5,7.145884955752213e-6,-0.00011215647163120564,-5.5562109375e-5,7.6736866359447e-6
5.0417341977309564e-5,-0.00010431826086956522,5.877325581395349e-6,-8.559156976744187e-5,-7.579308873720137e-5,7.114220314735336e-6,-0.00011844675925925911,-5.620952868852459e-5,7.694708860759494e-6
5.2051576872536136e-5,-0.00010497395099540582,5.8928942807625655e-6,-8.992241379310339e-5,-7.757943262411348e-5,7.117643097643097e-6,-0.00012599129593810453,-5.614056087551299e-5,7.708688524590164e-6
5.2822072072072076e-5,-0.00010558173134328359,5.865940170940171e-6,-9.429919908466818e-5,-7.810585042219542e-5,7.107304812834225e-6,-0.00013227955911823642,-5.685232843137255e-5,7.70511221945137e-6
5.448973429951691e-5,-0.00010581453560371517,5.846855087358685e-6,-9.973696911196907e-5,-7.887484811664642e-5,7.115508083140877e-6,-0.00013856770833333342,-5.7540798611111115e-5,7.697397408207343e-6
5.6451530612244896e-5,-0.00010578874613003097,5.855978260869565e-6,-0.00010420806451612915,-7.939934593023256e-5,7.1430360205831905e-6,-0.00014484978540772525,-5.8181939501779356e-5,7.674824902723736e-6
5.818863122171946e-5,-0.00010615750977835723,5.886875e-6,-0.00010954812206572786,-8.018580470162748e-5,7.144487004103967e-6,-0.00015112637362637345,-5.887911392405063e-5,7.69845965770171e-6
5.880523255813953e-5,-0.00010689241379310345,5.874472972972973e-6,-0.00011403605015673996,-8.074004683840749e-5,7.118888888888888e-6,-0.00015865168539325853,-5.9343506493506496e-5,7.704475138121547e-6
6.064711084905661e-5,-0.00010733956470588235,5.861130434782608e-6,-0.00011939384422110554,-8.080286885245902e-5,7.124774436090225e-6,-0.00016492832568807347,-5.978366247755835e-5,7.718337408312959e-6
6.240601503759398e-5,-0.00010749677993527508,5.8666251298027e-6,-0.0001249227688787187,-8.158904569892473e-5,7.118073721759809e-6,-0.00017120892018779332,-5.993193950177936e-5,7.721334745762713e-6
6.310534591194969e-5,-0.00010816484502446982,5.8929761904761905e-6,-0.00012924382716049377,-8.186402027027027e-5,7.12502493765586e-6,-0.0001774909420289854,-6.063142673521851e-5,7.72393984962406e-6
6.480060034305317e-5,-0.00010895317919075144,5.918195754716981e-6,-0.00013453896604938265,-8.163394018205461e-5,7.1182881773399015e-6,-0.0001850199600798403,-6.134727503168568e-5,7.730842572062084e-6
6.681040268456376e-5,-0.00010932040492957748,5.896109391124871e-6,-0.00013895051194539243,-8.1909549689441e-5,7.105123762376237e-6,-0.00019129411764705882,-6.203802447552448e-5,7.72943661971831e-6
6.847420634920635e-5,-0.00010907649681528663,5.8864778578784764e-6,-0.000144322625698324,-8.27014705882353e-5,7.084494680851064e-6,-0.00019756032818532814,-6.26947619047619e-5,7.736255230125524e-6
6.926364942528735e-5,-0.00010958241770715097,5.877166666666667e-6,-0.0001483805841924399,-8.351601941747573e-5,7.096821465428277e-6,-0.0002038264818355639,-6.339275766016713e-5,7.736066945606695e-6
7.090523598820058e-5,-0.0001100888926746167,5.877399150743101e-6,-0.00015401326366559494,-8.406220657276995e-5,7.124231843575418e-6,-0.0002113263358778626,-6.410882352941177e-5,7.689984848484849e-6
7.296153846153847e-5,-0.00011006018209408195,5.868433734939759e-6,-0.00015808228929384965,-8.459301566579635e-5,7.099562682215743e-6,-0.0002175785714285713,-6.456181959564541e-5,7.69383808095952e-6
7.33495145631068e-5,-0.00011077786279683377,5.875862808145767e-6,-0.00016337095400340723,-8.511540632054176e-5,7.096032608695652e-6,-0.00022382423371647506,-6.521663135593221e-5,7.695286396181385e-6
7.540635313531353e-5,-0.00011136754672897196,5.899453015427771e-6,-0.00016897328881469113,-8.488633333333333e-5,7.078650385604113e-6,-0.00023006730769230765,-6.589739884393064e-5,7.705887445887445e-6
7.705581241743725e-5,-0.00011174871359223301,5.875380184331798e-6,-0.00017305045871559644,-8.541747967479675e-5,7.057770193401593e-6,-0.00023755813953488377,-6.635832349468714e-5,7.706042105263158e-6
7.910869565217392e-5,-0.00011141336842105263,5.847667766776678e-6,-0.0001782908950617285,-8.571684210526316e-5,7.076902286902287e-6,-0.0002437915851272016,-6.655893987341772e-5,7.736418988648091e-6
7.952141057934509e-5,-0.00011151638783269962,5.827141403865718e-6,-0.00018256490384615403,-8.603641207815274e-5,7.085989189189189e-6,-0.0002500224103585656,-6.720893223819301e-5,7.760608899297423e-6
8.153377110694183e-5,-0.00011209874848116647,5.836046770601336e-6,-0.00018796171171171186,-8.657747489239598e-5,7.064049707602339e-6,-0.0002562525354969573,-6.739088397790055e-5,7.72642126789366e-6
8.322941527446301e-5,-0.00011267450617283951,5.875031446540881e-6,-0.00019191233766233757,-8.660744297719086e-5,7.080556844547564e-6,-0.00026372321428571417,-6.810018610421837e-5,7.737193717277486e-6
